created_at,LT,LB,KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,deskripsi,
07-12-2021,128,170,4,3,0,1,Gunung Putri,Lainnya,2200,,1450000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-oleh-togi-m-siahaan-18428970,"Akses Toll JORR II, dekat rumah sakit Eka Hospital, Mall Living World, tempat ibadah, sekolah, perbelanjaan",
07-12-2021,120,200,4,3,0,1,Gunung Putri,Lainnya,2200,,1500000000,https://www.rumah.com/listing-properti/dijual-kota-wisata-oleh-togi-m-siahaan-18428937,"Akses Toll JORR II, dekat rumah sakit Eka Hospital, Mall Living World, tempat ibadah, sekolah, perbelanjaan",
07-12-2021,140,170,4,3,0,2,Gunung Putri,SHM,4400,,1850000000,https://www.rumah.com/listing-properti/dijual-rumah-siap-huni-tanah-luas-bangunan-lega-oleh-nano-18432385,"Lokasi strategis, akses bebas banjir, dekat dengan banyak pusat perbelanjaan, lokasi rumah dalam komplek",
07-12-2021,98,49,2,1,0,1,Bogor Utara,SHM,5500,,840950000,https://www.rumah.com/listing-properti/dijual-vinca-village-oleh-hizkia-nathaniel-19264795,"500 m dari pintu toll, keamanan 24 jam",
07-12-2021,120,160,5,3,0,1,Cileungsi,SHM,2200,Barat,1250000000,https://www.rumah.com/listing-properti/dijual-rumah-di-limus-pratama-regency-oleh-janni-kurniawan-18893896,"Rumah siap huni, bebas banjir, fasilitas lengkap, lokasi strategis",
07-12-2021,60,39,2,1,0,1,Parung,SHM,1300,,670000000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-oleh-wina-kusniarti-19388909,"Keamanan 24 jam, 8 menit via Tol Bojong Gede",
07-12-2021,60,36,2,1,0,1,Gunung Putri,SHM,1300,,399000000,https://www.rumah.com/listing-properti/dijual-perumahan-dp-0-akad-syariah-andalusia-residence-di-tengah-kota-cibubur-oleh-sani-18746486,"Perumahan dengan akad syariah, dekat dengan Tol Cimanggis, Rumah Sakit Permata, sekolah, mall, dan pusat kuliner",
07-12-2021,70,40,2,1,0,2,Cibinong,SHM,1300,,456000000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-tepi-danau-citeureup-cibinong-bogor-dekat-pintu-tol-400-jutaan-oleh-agus-razali-18979590,"Keamanan 24 jam, dekat dengan Tol Citeureup, sekolah, Rumah Sakit Annisa dan Centra Medika",
07-12-2021,60,37,2,1,0,1,Parung,SHM,1300,,397223000,https://www.rumah.com/listing-properti/dijual-arco-green-park-parung-oleh-adi-cano-18659205,"Terdapat ruang terbuka hijau, dekat dengan pasar tradisional",
07-12-2021,72,55,3,2,0,1,Parung,SHM,2200,,551834000,https://www.rumah.com/listing-properti/dijual-dijual-rumah-keren-2-lantai-500an-juta-di-arco-oleh-adi-cano-19117770,"Keamanan 24 jam, di dalam cluster terdapat mushola dan taman bermain anak",
07-12-2021,72,36,2,1,0,1,Gunung Putri,SHM,1300,,485000000,https://www.rumah.com/listing-properti/dijual-taman-darul-adnen-ciangsana-gunung-putri-bogor-oleh-muhammad-faqihuddin-19329327,"Berada di komplek TNI AL, dekat dengan pusat perbelanjaan dan rumah sakit Melia Cibubur",
07-12-2021,72,47,2,2,0,1,Parung,SHM,1300,,600000000,https://www.rumah.com/listing-properti/dijual-grand-parung-oleh-esa-husnul-19372482,"Lokasi strategis, dekat dengan tol, konsep township modern, fasilitas lengkap",
07-12-2021,60,39,2,1,0,1,Parung,SHM,1300,,600000000,https://www.rumah.com/listing-properti/dijual-metro-parung-oleh-esa-husnul-19372448,"Lokasi strategis, dekat dengan tol, konsep township modern, fasilitas lengkap",
07-12-2021,72,43,2,1,0,1,Gunungsindur,SHGB,1300,,715000000,https://www.rumah.com/listing-properti/dijual-rawakalong-gunung-sindur-bogor-oleh-fransisco-19130075,"Keamanan 24 jam, dekat dengan Rumah Sakit Hermina, Universitas Pamulang, dan Pusat Kuliner Bukit Dago",
07-12-2021,60,30,2,1,0,1,Parung Panjang,SHM,1300,,378990000,https://www.rumah.com/listing-properti/dijual-citaville-parung-panjang-bogor-oleh-fransisco-19340449,"Dekat dengan Stasiun Parung Panjang dan pusat perbelanjaan (AEON mall, Gading Serpong, Karawaci)",
07-12-2021,105,36,2,1,0,1,Jonggol,SHGB,1300,,456000000,https://www.rumah.com/listing-properti/dijual-citra-indah-oleh-agih-bia-bagus-r-19396300,"Lokasi strategis, keamanan 24 jam",
07-12-2021,60,36,2,1,0,1,Bojonggede,SHM,1300,,368000000,https://www.rumah.com/listing-properti/dijual-5-menit-rs-citama-khusus-cash-keras-diskon-100-juta-free-biaya-notaris-shm-oleh-faqih-18664161,Lokasi strategis dengan lembaga pendidikan dan stasiun,
07-12-2021,84,42,2,1,0,1,Parung,SHM,1300,,500000000,https://www.rumah.com/listing-properti/dijual-casa-green-residence-parung-oleh-lilly-andalusiana-19396271,"Keamanan 24 jam, dekat dengan lembaga pendidikan (SDN Parung, Universitas Pamulang), dekat dengan pusat perbelanjaan",
07-12-2021,84,36,2,1,0,1,Parung,SHM,1300,,599000000,https://www.rumah.com/listing-properti/dijual-kemang-eminence-bogor-oleh-aditya-santoso-19253196,"Keamanan 24 jam, dekat dengan stastiun Cilebut, pemandangan hijau",
07-12-2021,98,49,2,1,0,1,Bogor Utara,SHM,1300,,925045000,https://www.rumah.com/listing-properti/dijual-vinca-village-oleh-roni-17724382,"Keamanan 24 jam, dekat dengan Tol Babakan Madang Barat, sekolah Alam Bogor, Rumah Sakit PMI",
07-12-2021,144,72,3,1,0,1,Bogor Utara,SHM,1300,,1621400000,https://www.rumah.com/listing-properti/dijual-nusa-indah-residence-oleh-roni-17750341,"Keamanan 24 jam, dekat dengan Tol Babakan Madang Barat, sekolah Alam Bogor, Rumah Sakit PMI",
07-12-2021,91,42,2,1,0,1,Parung,SHM,1300,,488500000,https://www.rumah.com/listing-properti/dijual-siapa-cepat-dia-dapat-rumah-cantik-free-biaya-biaya-oleh-danny-eka-saputra-19372601,"Rumah siap huni, keamanan 24 jam, dekat jalan raya Parung",
07-12-2021,108,69,3,2,0,1,Gunung Putri,SHM,1300,,795000000,https://www.rumah.com/listing-properti/dijual-rumah-cluster-ciangsana-strategis-dekat-kota-wisata-gunung-putri-bogor-oleh-denny-ahmad-setiawan-19293587,Keamanan 24 jam,
07-12-2021,66,37,2,1,0,1,Ciseeng,SHM,1300,,221000000,https://www.rumah.com/listing-properti/dijual-hanya-200-jutaan-punya-rumah-megah-dan-mewah-di-griya-pesona-madani-oleh-rival-19396469,"Keamanan 24 jam, dekat dengan tempat ibadah (masjid dan gereja), dekat dengan lembaga pendidikan dan rumah sakit",
07-12-2021,62,36,2,1,0,1,Bojonggede,SHM,1300,,239999999,https://www.rumah.com/listing-properti/dijual-promo-jual-rumah-baru-kualitas-internasional-oleh-siti-maisyaroh-19234617,"Dekat dengan kantor pemerintah daerah, tempat ibadah, dan lembaga pendidikan",
07-12-2021,60,50,2,1,0,1,Bogor Timur,SHGB,1300,,205000000,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-full-renovasi-strategis-di-citra-indah-city-oleh-betty-19031147,Rumah nyaman full renovasi strategis di Citra Indah City,
07-12-2021,210,150,4,2,0,2,Ciomas,SHM,2200,,1400000000,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-full-furnished-shm-dekat-stasiun-bogor-oleh-nina-meiyanne-19158830,Rumah full furnished SHM dekat Stasiun Bogor BU,
07-12-2021,156,72,4,3,0,1,Ciampea,SHM,1300,,650000000,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-kampung-3-lantai-bu-siap-huni-non-kpr-dekat-ipb-oleh-nina-meiyanne-19252052,Rumah 3 lantai siap huni dekat kampus IPB,
07-12-2021,255,219,6,5,0,2,Bogor Utara,SHM,2200,,2500000000,https://www.rumah.com/listing-properti/dijual-jual-rumah-hanya-500m-dari-pintu-toll-tanah-baru-plus-full-furnished-oleh-nina-meiyanne-19296396,"Full furnish, dekat pintu tol tanah baru di perumahan nurul ikhwan bogor",
07-12-2021,60,39,2,1,0,1,Parung,SHGB,2200,,633150000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-south-of-jakarta-oleh-agus-susanto-19227288,"Rumah modern dikawasan hijau, dekat 3 tol",
07-12-2021,66,60,3,2,0,2,Cibinong,SHM,2200,,550000000,https://www.rumah.com/listing-properti/dijual-samarra-regency-kota-cibinong-bogor-oleh-padil-19396998,Dekat pintu tol Babakan Madang sirkuit-bogor,
07-12-2021,66,36,2,1,0,1,Tajurhalang,SHM,1300,,377684362,https://www.rumah.com/listing-properti/dijual-tajur-halang-bogor-oleh-zainal-arifin-19273857,"15 menit ke stasiun bojong gede, Dekat SMAN 1 Tajur halang, Dekat SMKN 1 Tajur halang, 200m kantor kecamatan tajur halang, Dekat wisata alam danau tonjong & danau kemuning",
07-12-2021,270,150,5,4,0,1,Bogor Timur,SHM,2200,,1850000000,https://www.rumah.com/listing-properti/dijual-perumahan-baranangsiang-bogor-oleh-rufi-yenuartik-18988176,"Dekat mall, dekat terminal",
02-12-2021,240,358,4,2,0,1,Babakan Madang,SHM,2200,,4500000000,https://www.rumah123.com/properti/bogor/hos9271580/,Lokasi strategis,
02-12-2021,90,80,3,1,0,1,Jonggol,SHM,1300,,418000000,https://www.rumah123.com/properti/bogor/hos9271650/,"Rumah siap huni, lokasi strategis dekat tol",
02-12-2021,72,65,2,1,0,1,Jonggol,SHGB,1300,Utara,325000000,https://www.rumah123.com/properti/bogor/hos9271641/,"Rumah siap huni, Lokasi strategis",
02-12-2021,60,72,2,1,0,1,Jonggol,SHGB,1300,Timur,215000000,https://www.rumah123.com/properti/bogor/hos9271649/,"Fasilitas masjid, taman, jogging track, keamanan",
02-12-2021,60,72,2,1,0,1,Cileungsi,SHGB,1300,Timur,215000000,https://www.rumah123.com/properti/bogor/hos9271640/,"Fasilitas masjid, taman, jogging track, keamanan",
