Created_at,LT(m²),LB(m²),KT,KM,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,URL,Deskripsi
06-12-2021,105,70,3,1,,,Dukuh Pakis,SHM,1300,,1700000000,https://rumahdijual.com/surabaya/7878916-rumah-hokky-harga-dibawah-2-m-simpang-darmo-permai.html,"Sertifikat Hak Milik, Kamar tidur: 2, Kamar mandi: 1, Kamar pembantu: 1, Luas tanah: 105, Luas bangunan: 70, Listrik: 1300 watt, Sumber air: PDAM, Apakah mobil masuk? bisa masuk, Bebas banjir? bebas banjir"
06-12-2021,125,130,2,2,,,Rungkut,SHM,2200,,1500000000,https://rumahdijual.com/surabaya/7302279-rumah-murah-harga-dibawah-2-m-baruk-barat-surabaya.html,"Dijual cepat murah rumah harga dibawah 2 M Baruk Barat strategis siap huni
lt 125, lb 130, dimensi 8 * 15,6, kt 2 km 2, 3 ruangan optional, SHM, Listrik 2200 watt
Jual 1,5 M"
06-12-2021,108,49,2,1,,,Karangpilang,SHGB,2200,utara,1300000000,https://rumahdijual.com/surabaya/5614570-rumah-grand-harvest-baru-gress-murah-strategis-siap-huni.html,"Dijual cepat murah rumah Grand Harvest baru gress strategis siap huni
lt 108 lb 49, dimensi 6 * 18, kt 2 km 1, hadap Utara, HGB, Jual 1,3 M/nego"
06-12-2021,135,180,5,4,,1,Mulyorejo,SHM,2200,selatan,3450000000,https://rumahdijual.com/surabaya/11762001-rumah-new-gress-design-minimalis-di-wisma-permai-siap.html,"Rumah New Gress design Minimalis di Wisma Permai, Siap Huni, dekat Galaxy Mall
LT : 135 m2, Dimensi 9x15, LB : +/- 180 m2, 2 lantai, KT : 4+1, KM : 3+1 (3 Km Dalam), Gudang, Dapur, Jemuran lantai 2, Carport + Canopy, Granit tile 80x80, Galvalum, SHM, PLN 2200 watt, Hadap selatan, Harga 3,45 M nego sampe deal, Kami juga bisa membantu menguruskan KPR (FREE)"
06-12-2021,166.5,225,6,4,,2,Wiyung,SHM,,selatan,2900000000,https://rumahdijual.com/surabaya/11761853-dijual-rumah-royal-residence-scandinavian-style-furnish.html,"*🔥🔥ROYAL RESIDENCE UNDER 3M🔥🔥*
*Dijual Rumah Royal Residence* *Full Interior design Scandinavian Style* *Siap huni tinggal bawa koper aja💓*
-Full furniture n aksesoris -Sirkulasi udara dan pencahayaan ciamik -Ada taman depan dan belakang -Include AC 6 unit -Water Heater 2 unit -Lt 166,5 (9x18,5)/Lb 225 -KT 5+1/KM 3+1 -Hadap Selatan -SHM -Lantai tangga kayu merbau -Carport 2 mobil -Canopy rangka baja
Harga 2.9M nego tipis"
06-12-2021,210,350,5,4,1,1,Sambikerep,SHM,,selatan,2900000000,https://rumahdijual.com/surabaya/11761847-rumah-modern-mediterania-international-village-citraland.html,"Citra Land Int. Village ( Modern - Mediterania)
Dimensi 10 x 21, LT 210 m², LB ±350m², KT 4+1, KM 3+1 SHM, Hadap Selatan, Garasi 1 Mobil, Carport 1 Mobil, ROW Jalan 3,5 MOBIL
Harga Rp 2,9M"
06-12-2021,65,90,4,4,,,Sukolilo,SHM,2200,selatan,1400000000,https://rumahdijual.com/surabaya/11761844-rumah-baru-2-lantai-nginden-intan-dekat-untag-indomaret.html,"NEW MINIMALIS NGINDEN 1M an ROW LEBAR STRATEGIS🌿🌿🌿🌿🌿
UNIT D, LT 65 (5×13), LB 90 (2 lantai), 3KT+1, 3KM+1, SELATAN, SHM
Harga 1.4M nego"
06-12-2021,1500,1140,4,3,,,Gubeng,SHM,5500,barat,40000000000,https://rumahdijual.com/surabaya/11761754-dijual-rumah-ciamik-lokasi-surabaya-timur.html,"DIJUAL RUMAH CIAMIK LOKASI SURABAYA TIMUR
Dharmahusada Indah Timur
- LT 1.500 m2- LB 1.140 m2, 2 lt -KT 2+2 KM 3 =Listrik 5.500 watt -SHM - Hadap Barat - SELLING POINT: - Kolam Renang dan Gym - PDAM
Harga Jual Rp 40M"
06-12-2021,120,125,4,3,,,Kenjeran,SHM,2200,utara,1400000000,https://rumahdijual.com/surabaya/11761753-rumah-villa-kalijudan-indah-layak-huni-butuh-renovasi.html,"DIJUAL RUMAH VILLA KALIJUDAN INDAH
Layak huni butuh renovasi, Dimensi 8x15, 2 lantai, LT 120, LB 125 .KT 3
KM 2+1, SHM, Listrik 2200watt, PDAM, Hadap utara, Row jalan 4 mobil, Depan taman kecil
HARGA JUAL 1,4M"
06-12-2021,247,379,7,4,,,Kenjeran,SHM,4400,timur,2975000000,https://rumahdijual.com/surabaya/11761749-rumah-lebak-indah-utara-hadap-timur.html,"DIJUAL RUMAH 2 LANTAI LEBAK INDAH UTARA
Dimensi 10x25, LT. 247, LB 379, KT 6 + 1, KM 3 + 1, SHM, Tandon atas / bawah, Lantai Marmer, Listrik. 4400, Hadap Timur, Row 3 mobil
Harga Jual 2.975M"
